zip_code,store_number,county_number,category,vendor_number,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
50010.0,3524.0,85.0,1901200.0,421.0,6.0,1750.0,9.06,13.59,288.0,3913.92,504.0,133.14
50022.0,2591.0,15.0,1081500.0,434.0,12.0,1000.0,3.84,5.76,4.0,23.04,4.0,1.06
50111.0,4136.0,77.0,1091100.0,154.0,12.0,750.0,8.0,12.0,108.0,1296.0,81.0,21.39
50131.0,2587.0,77.0,1031100.0,421.0,48.0,100.0,0.89,1.34,48.0,64.32,4.8,1.27
50158.0,5166.0,64.0,1052100.0,420.0,24.0,200.0,5.74,8.61,24.0,206.64,4.8,1.27
50263.0,2665.0,25.0,1701100.0,192.0,12.0,750.0,12.05,18.08,84.0,1518.72,63.0,16.64
50265.0,5146.0,77.0,1081100.0,370.0,12.0,750.0,12.49,18.74,72.0,1349.28,54.0,14.26
50266.0,2619.0,77.0,1701100.0,370.0,6.0,750.0,24.98,37.47,90.0,3372.3,67.5,17.83
50314.0,4829.0,77.0,1052100.0,420.0,12.0,750.0,18.99,28.49,60.0,1709.4,45.0,11.89
50316.0,4057.0,77.0,1052100.0,420.0,24.0,200.0,5.74,8.61,48.0,413.28,9.6,2.54
50317.0,2636.0,77.0,1051140.0,115.0,24.0,200.0,1.96,2.94,24.0,70.56,4.8,1.27
50320.0,2633.0,77.0,1011800.0,566.0,6.0,750.0,19.0,28.5,66.0,1881.0,49.5,13.07
50327.0,4971.0,77.0,1062100.0,35.0,6.0,1750.0,15.0,22.5,102.0,2295.0,178.5,47.15
50401.0,2515.0,17.0,1091300.0,346.0,8.0,50.0,8.75,13.13,48.0,630.24,2.4,0.63
50461.0,4559.0,66.0,1031100.0,297.0,6.0,1750.0,7.2,10.8,30.0,324.0,52.5,13.87
50501.0,2562.0,94.0,1031100.0,301.0,12.0,750.0,9.65,14.48,108.0,1563.84,81.0,21.4
50588.0,2576.0,11.0,1081340.0,380.0,12.0,1000.0,5.5,8.25,4.0,33.0,4.0,1.06
50662.0,4156.0,33.0,1091300.0,346.0,8.0,300.0,8.75,13.13,8.0,105.04,2.4,0.63
50701.0,3993.0,7.0,1062100.0,35.0,24.0,375.0,4.5,6.75,7.0,47.25,2.62,0.69
50702.0,3494.0,7.0,1081700.0,421.0,12.0,1000.0,4.51,6.77,768.0,5199.36,768.0,202.88
50703.0,2571.0,7.0,1701100.0,65.0,6.0,750.0,7.35,11.03,180.0,1985.4,135.0,35.66
50707.0,4153.0,7.0,1012300.0,370.0,12.0,750.0,14.99,22.49,60.0,1349.4,45.0,11.89
50801.0,4291.0,88.0,1062100.0,35.0,12.0,1000.0,9.5,14.25,5.0,71.25,5.0,1.32
51106.0,3447.0,97.0,1081100.0,370.0,12.0,1000.0,14.99,22.49,240.0,5397.6,240.0,63.4
51246.0,3705.0,60.0,1081350.0,434.0,12.0,1000.0,5.0,7.5,5.0,37.5,5.0,1.32
51247.0,5446.0,84.0,1081500.0,65.0,12.0,1000.0,2.33,3.5,6.0,21.0,6.0,1.58
51360.0,2522.0,30.0,1092100.0,421.0,12.0,1000.0,4.51,6.77,48.0,324.96,48.0,12.68
51401.0,2593.0,14.0,1011600.0,65.0,6.0,750.0,23.62,35.43,18.0,637.74,13.5,3.56
51501.0,4312.0,78.0,1081500.0,434.0,12.0,1000.0,2.42,3.63,48.0,174.24,48.0,12.68
51555.0,4152.0,43.0,1062100.0,434.0,12.0,1000.0,4.42,6.63,2.0,13.26,2.0,0.52
52001.0,4167.0,31.0,1081100.0,65.0,12.0,1000.0,8.39,12.59,4.0,50.36,4.0,1.06
52003.0,2465.0,31.0,1062100.0,35.0,12.0,500.0,5.54,8.31,5.0,41.55,2.5,0.66
52136.0,5244.0,45.0,1031000.0,297.0,12.0,1000.0,4.17,6.26,2.0,75.12,2.0,0.52
52172.0,2178.0,3.0,1081100.0,370.0,24.0,375.0,6.49,9.74,1.0,9.74,0.37,0.09
52240.0,2512.0,52.0,1011500.0,255.0,6.0,750.0,18.09,27.14,18.0,488.52,13.5,3.57
52241.0,2670.0,52.0,1092100.0,353.0,12.0,1000.0,7.0,10.5,48.0,504.0,48.0,12.68
52314.0,10204.0,114.0,2173800.0,868.0,24.0,2000.0,9.92,14.879999999999999,1560.0,11620.8,1560.0,412.1
52338.0,9001.0,52.0,1012210.0,125.0,6.0,750.0,27.5,41.25,90.0,3712.5,67.5,17.83
52402.0,3385.0,57.0,1081500.0,55.0,12.0,1000.0,2.13,3.2,216.0,691.2,216.0,57.06
52411.0,2647.0,57.0,1091200.0,434.0,12.0,750.0,9.0,13.5,36.0,486.0,27.0,7.13
52556.0,2601.0,51.0,1081500.0,434.0,12.0,1000.0,2.42,3.63,6.0,21.78,6.0,1.58
52601.0,4898.0,29.0,1052100.0,420.0,24.0,200.0,5.74,8.61,24.0,206.64,4.8,1.27
52627.0,3549.0,56.0,1081100.0,421.0,12.0,750.0,5.72,8.58,36.0,237.24,27.0,7.13
52732.0,2616.0,23.0,1062100.0,434.0,6.0,1750.0,7.84,11.76,24.0,282.24,42.0,11.1
52761.0,3162.0,70.0,1081330.0,65.0,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
52803.0,4962.0,82.0,1091200.0,434.0,24.0,375.0,4.2,6.3,3.0,18.9,1.12,0.29
52804.0,5003.0,82.0,1092100.0,370.0,24.0,200.0,5.99,8.99,2.0,17.98,0.4,0.11
