zip_code,item_description,bottles_sold,sale_dollars,percent_sales
50010.0,Member's Mark Spiced Rum,288,3913.92,100.0
50022.0,Paramount Triple Sec,4,23.04,100.0
50111.0,Saints N Sinners Apple Pie,108,1296.0,100.0
50131.0,Platinum 7x Vodka,48,64.32,100.0
50158.0,Hennessy VS,24,206.64,100.0
50263.0,Jagermeister w/2 Shot Glasses,84,1518.72,100.0
50265.0,Kahlua Coffee,72,1349.28,100.0
50266.0,Avion Silver w/Powell & Mahoney Margarita Mix,90,3372.3,100.0
50314.0,Juarez Triple Sec,240,871.2,100.0
50316.0,Hennessy VS,48,413.28,100.0
50317.0,Paul Masson Peach Grande Amber Brandy,24,70.56,100.0
50320.0,Di Amore Quattro Orange,120,1755.6,100.0
50327.0,Bacardi Gold Rum PET,102,2295.0,100.0
50401.0,Ole Smoky Blackberry Moonshine Mini,48,630.24,100.0
50461.0,Five O'clock Vodka,30,324.0,100.0
50501.0,Titos Vodka,108,1563.84,100.0
50588.0,Phillips Root Beer Schnapps,4,33.0,100.0
50662.0,Ole Smoky Apple Pie Moonshine 70prf Mini,8,105.04,100.0
50701.0,Bacardi Gold,7,47.25,100.0
50702.0,Tortilla Gold Dss,768,5199.36,100.0
50703.0,Pinnacle Peach w/ Punch Dispenser,180,1985.4,100.0
50707.0,Jameson,60,1349.4,100.0
50801.0,Bacardi Gold Rum,5,71.25,100.0
51106.0,Kahlua Coffee Liqueur,240,5397.6,100.0
51246.0,Arrow Spearmint Schnapps,5,37.5,100.0
51247.0,Dekuyper Triple Sec,6,21.0,100.0
51360.0,Tortilla Gold Dss,48,324.96,100.0
51401.0,Basil Hayden Dark Rye,18,637.74,100.0
51501.0,Juarez Triple Sec,48,174.24,100.0
51555.0,Paramount Gold Rum,2,13.26,100.0
52001.0,Kamora Coffee Liqueur,4,50.36,100.0
52003.0,Bacardi Gold Rum Mini,5,41.55,100.0
52136.0,Five O'clock Vodka,2,75.12,100.0
52172.0,Kahlua Coffee,1,9.74,100.0
52240.0,Juarez Triple Sec,60,217.8,100.0
52241.0,Maestro Agavero Gold,48,504.0,100.0
52314.0,Juarez Gold Dss,1560,11620.8,100.0
52338.0,Cedar Ridge Single Malt Single Barrel Select,90,3712.5,100.0
52402.0,Montezuma Triple Sec,216,691.2,100.0
52411.0,Everclear Alcohol,36,486.0,100.0
52556.0,Juarez Triple Sec,6,21.78,100.0
52601.0,Five O'clock Vodka,48,81.6,100.0
52627.0,Kapali Coffee Liqueur,36,237.24,100.0
52732.0,Paramount Gold Rum,24,282.24,100.0
52761.0,Dekuyper Peachtree,4,45.72,100.0
52803.0,Everclear Alcohol,3,18.9,100.0
52804.0,Martell VSSD,2,17.98,100.0
